[2026-07-19T22:29:41.480Z] GET http://localhost:8000/login → 200 (9ms, 16155B)
[2026-07-19T22:29:57.451Z] GET http://localhost:8000/static/33cc10ab-eb14-491a-b1ef-a3b7a32dbf6f.js → 200 (?ms, -252B)
[2026-07-19T22:29:57.452Z] GET http://localhost:8000/static/2239d4cc-7838-4536-8ece-531a99433615.js → 200 (?ms, -253B)
[2026-07-19T22:29:57.454Z] GET http://localhost:8000/static/e929d16a-cc3b-4586-a30d-3a55811439c5 → 200 (?ms, -319B)
[2026-07-19T22:29:57.454Z] GET http://localhost:8000/static/b9688901-bd1c-4cdb-a5f1-5ce45a41e22c → 200 (?ms, -319B)
[2026-07-19T22:29:57.454Z] GET http://localhost:8000/static/271a769a-00c8-40e2-b7a5-fc09eb13acc3 → 200 (?ms, -319B)
[2026-07-19T22:29:57.455Z] GET http://localhost:8000/static/0ee4bd90-a829-4a5f-9e48-6fc518c42cf8 → 200 (?ms, -319B)
[2026-07-19T22:29:57.470Z] GET http://localhost:8000/PortalPage.dc.html → 404 (7ms, 22B)
[2026-07-19T22:30:16.302Z] GET http://localhost:8000/home → 200 (7ms, 169372B)
[2026-07-19T22:30:16.316Z] GET http://localhost:8000/static/unpkg.com_react@18.3.1_umd_react.production.min.js → 200 (?ms, -252B)
[2026-07-19T22:30:16.316Z] GET http://localhost:8000/static/unpkg.com_react-dom@18.3.1_umd_react-dom.production.min.js → 200 (?ms, -253B)
[2026-07-19T22:30:16.317Z] GET http://localhost:8000/static/33cc10ab-eb14-491a-b1ef-a3b7a32dbf6f.js → 200 (1ms, -252B)
[2026-07-19T22:30:16.318Z] GET http://localhost:8000/static/2239d4cc-7838-4536-8ece-531a99433615.js → 200 (?ms, -253B)
[2026-07-19T22:30:16.320Z] GET http://localhost:8000/static/e929d16a-cc3b-4586-a30d-3a55811439c5 → 200 (?ms, -319B)
[2026-07-19T22:30:16.320Z] GET http://localhost:8000/static/b9688901-bd1c-4cdb-a5f1-5ce45a41e22c → 200 (?ms, -319B)
[2026-07-19T22:30:16.320Z] GET http://localhost:8000/static/271a769a-00c8-40e2-b7a5-fc09eb13acc3 → 200 (?ms, -319B)
[2026-07-19T22:30:16.321Z] GET http://localhost:8000/static/0ee4bd90-a829-4a5f-9e48-6fc518c42cf8 → 200 (?ms, -319B)
[2026-07-19T22:30:16.334Z] GET http://localhost:8000/static/PortalPage.dc.html → 200 (8ms, 16639B)
[2026-07-19T22:30:16.345Z] GET http://localhost:8000/api/dashboard/stats → 200 (17ms, 172B)
[2026-07-19T22:30:25.691Z] GET http://localhost:8000/api/users → 200 (11ms, 456B)
